Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
2016-06-26T21:56:59Z,1.125318341,France,1.55,71082,1.56,73017.5,Rep of Ireland,9.8,1682.96,10,15371.95,The Draw,3.9,15081.03,3.95,29991.41,29991.41,100.3612%,-0.0035994
2016-06-26T21:57:01Z,1.12531775,Germany,1.49,73969.58,1.5,27959.79,Slovakia,10.5,4869.34,11,6451.8,The Draw,4.2,3973.25,4.3,21992.57,21992.57,100.4474%,-0.0044543
2016-06-26T21:57:03Z,1.125318745,Hungary,7.2,4968.4,7.4,5707.77,Belgium,1.74,7955.76,1.75,9669.12,The Draw,3.45,3953.61,3.5,6801.77,6801.77,100.3457%,-0.0034447
2016-06-26T21:57:05Z,1.12530855,Italy,4.6,2055.05,4.7,1033.31,Spain,2.18,7292.84,2.2,3524.35,The Draw,3,79765.79,3.05,62767.53,62767.53,100.9440%,-0.0093519
2016-06-26T21:57:07Z,1.125317176,England,1.59,8180.98,1.6,8796.68,Iceland,8.8,2063.78,9,35.29,The Draw,3.8,3715.79,3.85,20.78,20.78,100.5725%,-0.0056925
2016-06-26T21:57:08Z,1.125363729,Poland,3.9,570.42,4,465.15,Portugal,2.36,558.66,2.4,7135.61,The Draw,3.05,94.91,3.1,16294.32,16294.32,100.8008%,-0.0079443
2016-06-26T21:57:12Z,1.125318341,France,1.55,57667.12,1.56,73444.28,Rep of Ireland,9.8,1747.04,10,15424.54,The Draw,3.9,16369.36,3.95,30106.17,30106.17,100.3612%,-0.0035994
2016-06-26T21:57:14Z,1.12531775,Germany,1.49,73969.58,1.5,29679.02,Slovakia,10.5,4879.33,11,6451.8,The Draw,4.2,4587.26,4.3,22016.97,22016.97,100.4474%,-0.0044543
2016-06-26T21:57:16Z,1.125318745,Hungary,7.2,4968.4,7.4,5707.77,Belgium,1.74,7955.76,1.75,9669.12,The Draw,3.45,3953.61,3.5,6801.77,6801.77,100.3457%,-0.0034447
2016-06-26T21:57:18Z,1.12530855,Italy,4.6,2055.05,4.7,1033.31,Spain,2.18,7292.84,2.2,3597.39,The Draw,3,79765.79,3.05,62767.53,62767.53,100.9440%,-0.0093519
